AphiaID	Kingdom	Phylum	Class	Order	Family	Genus	Taxon	PlaceName	Distribution_id	Note	Beginyear	Occurrence	Origin	Invasiveness	Reference_id	Reference	Column
345943	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartia (Acanthacartia) tonsa	Belgian Exclusive Economic Zone	642501	non-indigenous			Alien		132969	VLIZ Alien Species Consortium	
345943	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartia (Acanthacartia) tonsa	Belgian part of the North Sea	856861		1952	Established	Alien	Not specified	71170	Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	
421137	Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus	Amphibalanus amphitrite	Belgian part of the North Sea	856862		1952	Established	Alien	Not specified	194863	Kerckhof, F. (1998). Het voorkomen van Balanus amphitrite langs de kust, in 1996 en 1997. <em>De Strandvlo.</em> 18(4): 170-179.	
421137	Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus	Amphibalanus amphitrite	Belgian part of the North Sea	817634			Reported	Alien	Uncertain	177060	Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)	
421139	Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus	Amphibalanus improvisus	Belgian part of the North Sea	818772			Reported	Origin unknown	Uncertain	190963	Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	
421139	Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus	Amphibalanus improvisus	Belgian part of the North Sea	856863		1895	Established	Alien	Not specified	21711	Lameere A. (1895). Manuel de la Faune de Belgique. Tome I, Animaux non insectes. H. Lamertin, Bruxelles.	
421140	Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus	Amphibalanus reticulatus	Belgian part of the North Sea	817678		1999	Reported	Alien	Uncertain	177060	Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)	
467513	Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus	Amphibalanus variegatus	Belgian part of the North Sea	814217		1997	Reported	Alien	Uncertain	190963	Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	
122885	Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	Anguillicola	Anguillicola crassus	Belgian Exclusive Economic Zone	642483	non-indigenous			Alien		132969	VLIZ Alien Species Consortium	
122885	Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	Anguillicola	Anguillicola crassus	Belgian part of the North Sea	814240			Uncertain	Alien	Uncertain	177036	DAISIE - European Invasive Alien Species Gateway	
