taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
345943	wrims	Acartia (Acanthacartia) tonsa		Animalia	Arthropoda		Calanoida	Acartiidae	Acartia								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
345943	wrims	Acartia (Acanthacartia) tonsa		Animalia	Arthropoda		Calanoida	Acartiidae	Acartia							Established	Alien				Not specified										Belgian part of the North Sea		1952			Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	71170			
421137	wrims	Amphibalanus amphitrite		Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus							Established	Alien				Not specified										Belgian part of the North Sea		1952			Kerckhof, F. (1998). Het voorkomen van Balanus amphitrite langs de kust, in 1996 en 1997. <em>De Strandvlo.</em> 18(4): 170-179.	194863			
421137	wrims	Amphibalanus amphitrite		Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus							Reported	Alien				Uncertain										Belgian part of the North Sea					Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)	177060			
421139	wrims	Amphibalanus improvisus		Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus							Reported	Origin unknown				Uncertain										Belgian part of the North Sea					Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	190963			
421139	wrims	Amphibalanus improvisus		Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus							Established	Alien				Not specified										Belgian part of the North Sea		1895			Lameere A. (1895). Manuel de la Faune de Belgique. Tome I, Animaux non insectes. H. Lamertin, Bruxelles.	21711			
421140	wrims	Amphibalanus reticulatus		Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus							Reported	Alien				Uncertain										Belgian part of the North Sea		1999			Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)	177060			
467513	wrims	Amphibalanus variegatus		Animalia	Arthropoda		Sessilia	Balanidae	Amphibalanus							Reported	Alien				Uncertain										Belgian part of the North Sea		1997			Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	190963			
122885	wrims	Anguillicola crassus		Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	Anguillicola								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
122885	wrims	Anguillicola crassus		Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	Anguillicola							Uncertain	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			
458994	wrims	Anguillicoloides crassus		Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	Anguillicoloides							Established	Alien				Not specified										Belgian part of the North Sea		1985			Belpaire, C.; De Charleroy, D.; Thomas, K.; Van Damme, P.; Ollevier, F.P. (1989). Effects of eel restocking on the distribution of the swimbladder nematode Anguillicola crassus in Flanders, Belgium. <em>J. Appl. Ichthyol.</em> 5(3): 151-153.	194883			
144521	wrims	Antithamnionella spirographidis		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
163275	wrims	Antithamnionella ternifolia		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
163275	wrims	Antithamnionella ternifolia		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella							Established	Alien				Not specified										Belgian part of the North Sea		1970			Leloup, E. (1973). Recherches sur l'ostrÃ©iculture dans le bassin de chasse d'Ostende en 1970 et 1971. Bull. K. Belg. Inst. Nat. Wet. 49(10): 1-23 	194857			
103647	wrims	Aplidium glabrum		Animalia	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae	Aplidium								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
103647	wrims	Aplidium glabrum		Animalia	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae	Aplidium							Established	Alien				Not specified										Belgian part of the North Sea		2000			De Blauwe, H.; Dumoulin, E. (2009). De zeefauna en -flora uit de jachthaven van Zeebrugge, in het bijzonder de fouling-organismen van drijvende pontons De Strandvlo 29(2): 41-63	147598			
106211	wrims	Balanus amphitrite		Animalia	Arthropoda		Sessilia	Balanidae	Balanus								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
106218	wrims	Balanus improvisus		Animalia	Arthropoda		Sessilia	Balanidae	Balanus								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
106223	wrims	Balanus trigonus		Animalia	Arthropoda		Sessilia	Balanidae	Balanus							Reported	Alien				Uncertain										Belgian part of the North Sea					U.S. National Museum of Natural History. (2002-2013). Invertebrate zoology collections database. 	192639			Location : Belgian waters<br/>Year first introduced or recorded : 1997-1998. [One empty specimen of B. trigonus was found on a buoy in Belgian waters in 1997-1998 (Kerckhof and Cattrijsse 2001).]
106223	wrims	Balanus trigonus		Animalia	Arthropoda		Sessilia	Balanidae	Balanus							Reported	Alien				Uncertain										Belgian part of the North Sea					Zullo, V. A. (1992). Balanus trigonus Darwin (Cirripedia, Balanidae) in the Atlantic Basin: an introduced species ?. Bulletin of Marine Science. 50, 66-74.	192733			Location : Belgian waters<br/>Year first introduced or recorded : 1997-1998. [One empty specimen of B. trigonus was found on a buoy in Belgian waters in 1997-1998 (Kerckhof and Cattrijsse 2001).]
111805	wrims	Barentsia ramosa		Animalia	Entoprocta		Coloniales	Barentsiidae	Barentsia							Reported	Alien				Uncertain										Belgian part of the North Sea		1962			Nielsen, C. (1989). Entoprocts: keys and notes for the identification of the species. <em>Synopses of the British fauna (New Series).</em> 41, 131p.	43003			
246871	wrims	Bonamia ostreae		Chromista	Cercozoa	Ascetosporea	Haplosporida	Haplosporiidae	Bonamia								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
246871	wrims	Bonamia ostreae		Chromista	Cercozoa	Ascetosporea	Haplosporida	Haplosporiidae	Bonamia							Established	Alien				Not specified										Belgian part of the North Sea		1980			Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	71170			
148715	wrims	Botrylloides violaceus		Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
148715	wrims	Botrylloides violaceus		Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides							Established	Alien				Not specified										Belgian part of the North Sea		2003			De Blauwe, H.; Dumoulin, E. (2009). De zeefauna en -flora uit de jachthaven van Zeebrugge, in het bijzonder de fouling-organismen van drijvende pontons De Strandvlo 29(2): 41-63	147598			
111158	wrims	Bugula neritina		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula							Reported	Alien				Uncertain										Belgian part of the North Sea		1999			Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.	177158			
111162	wrims	Bugula simplex		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
111162	wrims	Bugula simplex		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula							Established	Alien				Not specified										Belgian part of the North Sea		2000			Kerckhof, F. (2001). Het mosdiertje <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) nieuw voor de Belgische fauna [The bryozoan <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) new species for the Belgian fauna]. <em>De Strandvlo.</em> 21(1): 36-39.	1165			
111164	wrims	Bugula stolonifera		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula								Alien													Belgian Coast						De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor BelgiÃ« en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.	130048			In Belgische jachthavens.
111164	wrims	Bugula stolonifera		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
111164	wrims	Bugula stolonifera		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula							Established	Alien				Not specified										Belgian part of the North Sea		1976			De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor BelgiÃ« en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.	130048			
111164	wrims	Bugula stolonifera		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula							Reported	Alien				Not invasive										Belgian part of the North Sea					Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)	177060			
107379	wrims	Callinectes sapidus		Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
107379	wrims	Callinectes sapidus		Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes							Established	Alien				Not specified										Belgian part of the North Sea		1993			Van Damme, P.; Maes, J. (1993). De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (BelgiÃ«). <em>De Strandvlo.</em> 13(4): 120-121.	194866			
107379	wrims	Callinectes sapidus		Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes							Established	Alien				Uncertain										Belgian part of the North Sea					Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)	177060			
146768	wrims	Caprella mutica		Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
146768	wrims	Caprella mutica		Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella							Established	Alien				Uncertain										Belgian part of the North Sea		1998			DAISIE - European Invasive Alien Species Gateway	177036			Location : Zeebrugge harbour<br/>Year first introduced or recorded : Region of first record: Zeebrugge harbour
146768	wrims	Caprella mutica		Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella							Established	Alien				Not specified										Belgian part of the North Sea		1998			De Blauwe, H.; Dumoulin, E. (2009). De zeefauna en -flora uit de jachthaven van Zeebrugge, in het bijzonder de fouling-organismen van drijvende pontons De Strandvlo 29(2): 41-63	147598			
146768	wrims	Caprella mutica		Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella							Reported	Alien				Not specified										Belgian part of the North Sea		1998			Ashton, G. V.; Willis, K. J.; Cook, E. J.; Burrows, M. (2007). Distribution of the introduced amphipod, Caprella mutica Schurin, 1935 (Amphipoda: Caprellida: Caprellidae) on the west coast of Scotland and a review of its global distribution. <em>Hydrobiologia.</em> 590(1): 31-41.	191857			Location: Zeebrugge Marina (1998) Shipping; Oostende Harbour Buoy (2002) Shipping
146768	wrims	Caprella mutica		Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella							Established	Alien				Not specified										Belgian part of the North Sea		1998			Cook, J. E.; Jahnke, M.; Kerckhof, F.; Minchin, D.; Faasse, M.; Boos, K.; Ashton, G. (2007). European expansion of the introduced amphipod Caprella mutica Schurin 1935. <em>Aquatic Invasions.</em> 2: 411-421.	190788			
145606	wrims	Caulacanthus ustulatus		Plantae	Rhodophyta	Florideophyceae	Gigartinales	Caulacanthaceae	Caulacanthus								Alien															Belgian Exclusive Economic Zone	2011			VLIZ Alien Species Consortium	132969			non-indigenous
145606	wrims	Caulacanthus ustulatus		Plantae	Rhodophyta	Florideophyceae	Gigartinales	Caulacanthaceae	Caulacanthus							Established	Alien				Not specified										Belgian part of the North Sea		2011			Kerckhof, F.; Verbeke, D.; Bauwens, F. (2012). Nieuws uit de Baai van Heist: de roodwieren Caulacanthus ustulatus (Mertens ex Turner) KÃ¼tzing, 1843 en Gracilaria vermiculophylla (Ohmi) Papenfuss 1967 nieuw voor de Belgische kust en een merkwaardig habitat van intertidale mossels De Strandvlo 32(1): 19-23	162899			Belgian coast 
148582	wrims	Chelicorophium curvispinum		Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Chelicorophium								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
148582	wrims	Chelicorophium curvispinum		Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Chelicorophium							Established	Alien				Not specified										Belgian part of the North Sea		1981			Wouters, K.A. (1985). Corophium curvispinum Sars, 1895 in the river Meuse, Belgium. <em>Crustaceana.</em> 48(2): 218-220.	195441			estuaries and river basins
370562	wrims	Codium fragile subsp. fragile		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Codiaceae	Codium								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
370562	wrims	Codium fragile subsp. fragile		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Codiaceae	Codium							Established	Alien				Not specified										Belgian part of the North Sea		1939			Leloup, E. & O. Miller. (1940). La flore et la faune du Bassin de Chasse d'Ostende (1937-1938). MÃ©moires du MusÃ©e Royal d'Histoire Naturelle de Belgique 94:1-112, pls. 1-3. (30-iv-1940)	95136			
117428	wrims	Cordylophora caspia		Animalia	Cnidaria	Hydrozoa	Anthoathecata	Cordylophoridae	Cordylophora								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
117428	wrims	Cordylophora caspia		Animalia	Cnidaria	Hydrozoa	Anthoathecata	Cordylophoridae	Cordylophora							Established	Alien				Not specified										Belgian part of the North Sea		1905			Loppens, K., 1905. Rapide multiplication de quelques bryozoaires et hydroÃ¯des. Annls Soc. r. zool. malacol. Belg. 40 : xxii-xxiii.	36609			Brackish, harbour Niewpoort, Belgian coast
127180	wrims	Coregonus lavaretus		Animalia	Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus							Established	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			
156632	wrims	Coscinodiscus wailesii		Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus								Alien													Belgian Coast						VLIZ Alien Species Consortium	132969			non-indigenous
156632	wrims	Coscinodiscus wailesii		Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus								Alien													Belgian Coast			1977			Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	71170			
156632	wrims	Coscinodiscus wailesii		Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus							Established	Alien				Not specified										Belgian part of the North Sea					Laing, I.; Gollasch, S. (2002). Coscinodiscus wailesii: a nuisance diatom in European waters, in: LeppÃ¤koski, E. et al. (Ed.) (2002). Invasive aquatic species of Europe: distribution, impacts and management. pp. 53-55 	194859			
140656	wrims	Crassostrea gigas		Animalia	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
140656	wrims	Crassostrea gigas		Animalia	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea							Established	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			Location : Belgian coast<br/>Year first introduced or recorded : 1960-1969 - Belgian coast
140656	wrims	Crassostrea gigas		Animalia	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea							Established	Alien				Not specified										Belgian part of the North Sea		1969			ICES Advisory Committee on the Marine Environment (2006). Working Group on Introductions and Transfers of Marine Organisms (WGITMO)16-17 March 2006 Oostende, Belgium. <em>CM Documents - ICES, CM 2006(ACME:05).</em> ICES: Copenhagen. 330 pp.	194876			
138963	wrims	Crepidula fornicata		Animalia	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae	Crepidula								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
138963	wrims	Crepidula fornicata		Animalia	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae	Crepidula							Established	Alien				Uncertain										Belgian part of the North Sea		1911			DAISIE - European Invasive Alien Species Gateway	177036			
138963	wrims	Crepidula fornicata		Animalia	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae	Crepidula							Established	Alien				Not specified										Belgian part of the North Sea		1911			Polk, P. (1962). Contribution to the knowledge on the marine fauna of the Belgian coast: 4. Control of the oyster pest Crepidula fornicata L. in the Sluice Dock at Ostend [Bijdrage tot de kennis der mariene fauna van de Belgische kust: 4. De bestrijding van de oesterplaag Crepidula fornicata L. in de Spuikom te Oostende]. Biol. Jb. Dodonaea 30: 37-46 	133198			
154582	wrims	Cyprinus carpio		Animalia	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Cyprinus							Established	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			
395099	wrims	Diadumene lineata		Animalia	Cnidaria	Anthozoa	Actiniaria	Diadumenidae	Diadumene							Established	Alien				Not specified										Belgian part of the North Sea		1998			Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	71170			estuaries, Ostend Sluice Dock (Spuikom), Belgian coast
148586	wrims	Dikerogammarus villosus		Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Dikerogammarus							Established	Alien				Not specified										Belgian part of the North Sea		2005			Boets, P.; Lock, K.; Goethals, P. L. M. (2010). Using long-term monitoring to investigate the changes in species composition in the harbour of Ghent (Belgium). <em>Hydrobiologia.</em> 663(1): 155-166.	195439			estuaries and river basins
103579	wrims	Diplosoma listerianum		Animalia	Chordata	Ascidiacea	Aplousobranchia	Didemnidae	Diplosoma								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
